"name","essround","edition","proddate","idno","cntry","trstprl","trstplt","trstprt","trstep","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","dweight","pspwght","pweight"
"ESS3e03_7",3,"3.7","01.12.2018",3,"AT",7,3,3,5,88,8,7,7,8,8,9,8,1.2429,0.94957787,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",6,"AT",8,2,2,5,3,5,7,3,7,4,8,6,0.8286,1.4121802,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",8,"AT",8,4,3,8,5,8,9,7,9,6,7,8,0.8286,0.72327614,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",9,"AT",3,1,1,3,5,10,3,2,4,5,4,10,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",11,"AT",5,5,5,5,6,9,5,5,5,5,6,8,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",12,"AT",88,5,7,88,88,10,5,3,5,8,7,5,1.6572,3.788721,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",14,"AT",77,77,77,77,9,77,77,77,77,77,77,8,0.4143,0.35225528,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",15,"AT",4,0,5,88,0,5,3,4,7,7,10,3,1.6572,0.83432496,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",17,"AT",6,5,5,5,3,3,0,4,7,5,9,88,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",18,"AT",5,3,3,2,4,7,8,4,7,4,8,7,0.8286,1.8943605,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",20,"AT",7,5,5,7,3,8,8,6,6,3,8,8,0.4143,0.36163807,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",21,"AT",7,6,6,9,88,8,7,7,7,4,9,7,1.2429,2.0950758,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",23,"AT",4,4,4,0,5,7,5,0,7,5,9,7,0.4143,0.3517664,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",24,"AT",4,1,1,3,7,9,2,5,3,5,5,8,0.8286,0.63305193,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",27,"AT",3,2,2,6,88,7,5,6,8,7,8,5,1.2429,0.94957787,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",32,"AT",6,7,7,6,88,7,5,5,88,88,4,5,0.8286,1.8943605,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",35,"AT",1,4,5,88,3,2,4,5,5,7,2,4,1.6572,1.4465523,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",38,"AT",5,4,4,6,5,2,5,2,5,88,1,3,0.4143,0.6379201,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",41,"AT",7,5,5,7,5,9,9,7,7,5,7,8,1.2429,1.0849142,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",42,"AT",7,1,1,88,7,5,5,5,3,3,2,88,0.8286,1.2758402,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",44,"AT",6,3,3,0,5,7,3,3,5,5,7,8,0.8286,0.63305193,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",50,"AT",6,5,6,5,5,7,7,6,6,5,6,7,0.8286,0.959949,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",51,"AT",7,2,2,5,2,5,1,2,3,6,6,5,1.2429,1.1006993,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",54,"AT",4,1,2,5,3,2,4,4,6,5,5,1,1.2429,1.1006993,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",57,"AT",6,6,6,7,4,8,8,8,8,9,10,8,0.8286,1.2758402,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",59,"AT",8,6,6,7,8,6,5,3,6,7,8,5,0.4143,0.6379201,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",62,"AT",5,5,5,5,3,7,5,88,7,9,10,5,1.2429,0.90940875,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",63,"AT",2,1,1,1,5,10,5,0,1,5,5,10,0.4143,0.31652597,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",65,"AT",8,3,4,5,3,7,7,6,7,7,8,7,0.4143,0.4799745,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",66,"AT",6,5,8,7,6,5,5,6,7,8,9,5,0.4143,0.20858124,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",68,"AT",3,2,2,2,2,10,4,3,7,9,9,9,0.8286,0.886352,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",71,"AT",5,1,1,0,6,4,7,3,4,8,5,5,1.6572,0.83432496,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",72,"AT",2,3,3,2,5,10,2,3,4,7,7,10,1.2429,1.0567659,0.28911608
