"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstplt","trstep","trstprt","trstprl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy"
"ESS4e04_6",4,"4.6","14.11.2023",10202,"BE",1.0074,0.8232233,0.50377333,0.41471794,4,4,2,2,7,2,5,6,1,9,9,0
"ESS4e04_6",4,"4.6","14.11.2023",10203,"BE",1.0074,0.7986095,0.50377333,0.40231818,6,7,6,6,6,9,6,6,7,8,8,9
"ESS4e04_6",4,"4.6","14.11.2023",10207,"BE",1.0074,0.7780196,0.50377333,0.39194554,5,6,5,2,8,10,4,2,3,8,9,10
"ESS4e04_6",4,"4.6","14.11.2023",10208,"BE",1.0074,0.7777354,0.50377333,0.39180237,4,5,4,5,6,7,3,5,6,6,7,7
"ESS4e04_6",4,"4.6","14.11.2023",10302,"BE",1.0074,0.96096045,0.50377333,0.48410624,2,5,3,5,5,8,8,3,2,4,5,7
"ESS4e04_6",4,"4.6","14.11.2023",10305,"BE",1.0074,0.9606094,0.50377333,0.4839294,4,10,4,10,5,10,10,10,10,10,10,9
"ESS4e04_6",4,"4.6","14.11.2023",10306,"BE",1.0074,1.1612698,0.50377333,0.5850167,7,8,7,7,2,8,4,4,6,7,8,8
"ESS4e04_6",4,"4.6","14.11.2023",10307,"BE",1.0074,0.7986095,0.50377333,0.40231818,6,7,6,6,3,10,6,5,6,7,7,10
"ESS4e04_6",4,"4.6","14.11.2023",10309,"BE",1.0074,0.8232233,0.50377333,0.41471794,4,4,5,4,4,8,4,3,4,7,9,7
"ESS4e04_6",4,"4.6","14.11.2023",10401,"BE",1.0074,0.7780196,0.50377333,0.39194554,6,8,6,6,4,6,8,6,8,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",10402,"BE",1.0074,0.7777354,0.50377333,0.39180237,1,0,2,3,5,7,9,4,4,7,9,8
"ESS4e04_6",4,"4.6","14.11.2023",10403,"BE",1.0074,0.7777354,0.50377333,0.39180237,7,7,7,6,7,3,2,6,7,8,8,7
"ESS4e04_6",4,"4.6","14.11.2023",10408,"BE",1.0074,1.1966237,0.50377333,0.6028271,4,6,3,6,8,5,4,6,5,8,8,8
"ESS4e04_6",4,"4.6","14.11.2023",10409,"BE",1.0074,0.7777354,0.50377333,0.39180237,10,6,8,10,6,6,5,9,9,7,10,6
"ESS4e04_6",4,"4.6","14.11.2023",10505,"BE",1.0074,1.1309165,0.50377333,0.5697256,3,3,3,4,4,9,7,4,3,9,9,9
"ESS4e04_6",4,"4.6","14.11.2023",10506,"BE",1.0074,0.93584275,0.50377333,0.47145262,3,5,5,4,5,3,3,6,5,8,8,4
"ESS4e04_6",4,"4.6","14.11.2023",10607,"BE",1.0074,0.96096045,0.50377333,0.48410624,3,6,5,3,8,6,6,1,8,10,10,6
"ESS4e04_6",4,"4.6","14.11.2023",10704,"BE",1.0074,1.1313298,0.50377333,0.5699338,0,6,0,3,5,8,5,5,7,8,7,7
"ESS4e04_6",4,"4.6","14.11.2023",10707,"BE",1.0074,0.93584275,0.50377333,0.47145262,0,3,3,5,5,10,7,3,7,10,10,9
"ESS4e04_6",4,"4.6","14.11.2023",10801,"BE",1.0074,0.9902161,0.50377333,0.49884444,4,5,5,2,7,9,4,2,3,7,8,9
"ESS4e04_6",4,"4.6","14.11.2023",10806,"BE",1.0074,0.9898543,0.50377333,0.49866217,5,3,1,5,5,7,0,7,0,5,8,8
"ESS4e04_6",4,"4.6","14.11.2023",10807,"BE",1.0074,1.1612698,0.50377333,0.5850167,4,5,7,6,6,2,2,8,4,5,7,8
"ESS4e04_6",4,"4.6","14.11.2023",10902,"BE",1.0074,0.93550086,0.50377333,0.4712804,3,3,3,3,5,8,4,5,5,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",10906,"BE",1.0074,0.96096045,0.50377333,0.48410624,5,3,4,3,4,7,1,0,5,7,7,8
"ESS4e04_6",4,"4.6","14.11.2023",10907,"BE",1.0074,0.7780196,0.50377333,0.39194554,4,8,4,6,8,7,8,4,9,9,9,9
"ESS4e04_6",4,"4.6","14.11.2023",11004,"BE",1.0074,0.7777354,0.50377333,0.39180237,5,7,3,4,6,8,4,4,6,8,8,6
"ESS4e04_6",4,"4.6","14.11.2023",11005,"BE",1.0074,0.7780196,0.50377333,0.39194554,5,5,5,7,6,8,6,6,8,7,8,8
"ESS4e04_6",4,"4.6","14.11.2023",11007,"BE",1.0074,0.9902161,0.50377333,0.49884444,6,8,6,7,1,3,2,6,7,8,8,8
"ESS4e04_6",4,"4.6","14.11.2023",11008,"BE",1.0074,0.7989014,0.50377333,0.40246522,5,7,4,3,6,7,3,5,5,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",11106,"BE",1.0074,0.9902161,0.50377333,0.49884444,5,8,5,2,5,9,5,10,5,10,10,8
"ESS4e04_6",4,"4.6","14.11.2023",11107,"BE",1.0074,0.8229225,0.50377333,0.41456643,7,7,6,7,7,8,6,3,6,7,9,8
"ESS4e04_6",4,"4.6","14.11.2023",11109,"BE",1.0074,0.93584275,0.50377333,0.47145262,2,5,2,5,5,9,5,4,8,8,8,8
"ESS4e04_6",4,"4.6","14.11.2023",11201,"BE",1.0074,0.93550086,0.50377333,0.4712804,5,6,5,5,8,6,4,5,5,6,7,7
"ESS4e04_6",4,"4.6","14.11.2023",11202,"BE",1.0074,0.7989014,0.50377333,0.40246522,4,5,4,4,5,8,6,3,4,4,7,8
"ESS4e04_6",4,"4.6","14.11.2023",11206,"BE",1.0074,1.1309165,0.50377333,0.5697256,6,9,5,3,8,10,9,8,10,10,10,10
"ESS4e04_6",4,"4.6","14.11.2023",11209,"BE",1.0074,0.9606094,0.50377333,0.4839294,5,5,4,4,5,6,4,5,5,6,6,8
"ESS4e04_6",4,"4.6","14.11.2023",11303,"BE",1.0074,1.1612698,0.50377333,0.5850167,6,5,4,5,7,7,88,8,4,5,9,5
"ESS4e04_6",4,"4.6","14.11.2023",11305,"BE",1.0074,0.8229225,0.50377333,0.41456643,0,1,0,1,5,7,1,0,0,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",11306,"BE",1.0074,0.8229225,0.50377333,0.41456643,5,7,5,5,6,10,5,5,8,8,8,10
"ESS4e04_6",4,"4.6","14.11.2023",11307,"BE",1.0074,1.1313298,0.50377333,0.5699338,6,4,4,7,6,7,4,5,7,6,8,8
"ESS4e04_6",4,"4.6","14.11.2023",11308,"BE",1.0074,0.93550086,0.50377333,0.4712804,4,4,4,4,3,10,2,2,5,7,9,10
"ESS4e04_6",4,"4.6","14.11.2023",11309,"BE",1.0074,0.96096045,0.50377333,0.48410624,5,7,6,6,4,8,7,7,6,8,8,7
"ESS4e04_6",4,"4.6","14.11.2023",11401,"BE",1.0074,0.9902161,0.50377333,0.49884444,5,7,6,8,5,6,4,3,3,4,4,7
"ESS4e04_6",4,"4.6","14.11.2023",11403,"BE",1.0074,0.9606094,0.50377333,0.4839294,0,4,8,2,4,5,2,3,3,3,6,4
"ESS4e04_6",4,"4.6","14.11.2023",11404,"BE",1.0074,0.96096045,0.50377333,0.48410624,6,6,6,5,88,7,5,8,7,88,10,7
"ESS4e04_6",4,"4.6","14.11.2023",11405,"BE",1.0074,0.8229225,0.50377333,0.41456643,7,5,6,6,3,6,5,5,6,8,8,5
"ESS4e04_6",4,"4.6","14.11.2023",11502,"BE",1.0074,0.93584275,0.50377333,0.47145262,2,4,2,3,7,5,3,4,5,8,7,6
"ESS4e04_6",4,"4.6","14.11.2023",11505,"BE",1.0074,0.9902161,0.50377333,0.49884444,7,7,7,5,5,8,5,3,3,8,9,8
"ESS4e04_6",4,"4.6","14.11.2023",11506,"BE",1.0074,1.1966237,0.50377333,0.6028271,4,5,3,7,5,9,8,88,7,9,3,9
"ESS4e04_6",4,"4.6","14.11.2023",11507,"BE",1.0074,0.93550086,0.50377333,0.4712804,5,3,3,3,5,9,6,4,4,6,6,7
"ESS4e04_6",4,"4.6","14.11.2023",11509,"BE",1.0074,1.1309165,0.50377333,0.5697256,4,4,4,7,5,5,5,5,5,5,5,7
"ESS4e04_6",4,"4.6","14.11.2023",11601,"BE",1.0074,0.8232233,0.50377333,0.41471794,7,8,7,7,7,8,7,6,8,9,9,9
"ESS4e04_6",4,"4.6","14.11.2023",11602,"BE",1.0074,0.96962,0.50377333,0.4884687,6,7,4,6,8,7,7,5,4,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",11603,"BE",1.0074,0.96096045,0.50377333,0.48410624,1,1,1,2,2,7,5,1,3,8,9,7
"ESS4e04_6",4,"4.6","14.11.2023",11607,"BE",1.0074,1.1309165,0.50377333,0.5697256,2,5,5,6,3,9,7,5,5,7,8,8
"ESS4e04_6",4,"4.6","14.11.2023",11608,"BE",1.0074,1.1313298,0.50377333,0.5699338,6,6,6,3,5,7,3,4,4,7,7,8
"ESS4e04_6",4,"4.6","14.11.2023",11702,"BE",1.0074,0.8232233,0.50377333,0.41471794,6,5,5,6,7,8,6,6,7,8,9,8
"ESS4e04_6",4,"4.6","14.11.2023",11703,"BE",1.0074,0.8232233,0.50377333,0.41471794,5,7,5,8,7,6,5,5,7,7,9,7
"ESS4e04_6",4,"4.6","14.11.2023",11704,"BE",1.0074,0.9606094,0.50377333,0.4839294,2,4,4,2,7,7,1,2,5,7,7,7
"ESS4e04_6",4,"4.6","14.11.2023",11705,"BE",1.0074,0.9898543,0.50377333,0.49866217,4,3,2,4,5,7,5,5,4,8,9,8
"ESS4e04_6",4,"4.6","14.11.2023",11707,"BE",1.0074,1.1309165,0.50377333,0.5697256,1,0,0,0,5,9,5,3,4,7,7,9
"ESS4e04_6",4,"4.6","14.11.2023",11708,"BE",1.0074,1.1313298,0.50377333,0.5699338,5,4,4,5,5,7,7,4,8,9,9,9
"ESS4e04_6",4,"4.6","14.11.2023",11801,"BE",1.0074,0.7989014,0.50377333,0.40246522,6,7,7,5,4,10,7,5,6,7,8,9
"ESS4e04_6",4,"4.6","14.11.2023",11802,"BE",1.0074,1.1970611,0.50377333,0.60304743,0,0,0,0,3,10,5,3,3,7,7,10
"ESS4e04_6",4,"4.6","14.11.2023",11804,"BE",1.0074,0.9606094,0.50377333,0.4839294,6,7,7,5,3,8,7,5,6,7,7,8
"ESS4e04_6",4,"4.6","14.11.2023",11807,"BE",1.0074,1.1313298,0.50377333,0.5699338,4,5,5,88,5,5,3,3,3,88,6,5
"ESS4e04_6",4,"4.6","14.11.2023",11902,"BE",1.0074,0.9902161,0.50377333,0.49884444,6,2,4,6,7,7,4,3,5,7,6,7
"ESS4e04_6",4,"4.6","14.11.2023",11903,"BE",1.0074,0.7780196,0.50377333,0.39194554,3,3,2,3,7,7,4,3,5,7,7,7
"ESS4e04_6",4,"4.6","14.11.2023",11904,"BE",1.0074,0.7780196,0.50377333,0.39194554,5,6,5,6,3,7,5,3,5,6,7,7
"ESS4e04_6",4,"4.6","14.11.2023",11905,"BE",1.0074,1.1616943,0.50377333,0.5852306,4,4,88,4,4,6,2,2,4,8,3,3
"ESS4e04_6",4,"4.6","14.11.2023",11906,"BE",1.0074,0.8232233,0.50377333,0.41471794,0,3,7,4,6,9,2,0,3,9,9,9
"ESS4e04_6",4,"4.6","14.11.2023",11907,"BE",1.0074,1.1313298,0.50377333,0.5699338,0,6,1,7,88,5,2,1,5,9,8,5
"ESS4e04_6",4,"4.6","14.11.2023",11909,"BE",1.0074,0.8229225,0.50377333,0.41456643,5,6,3,6,7,8,4,5,3,7,8,8
"ESS4e04_6",4,"4.6","14.11.2023",12001,"BE",1.0074,1.1313298,0.50377333,0.5699338,2,2,1,3,6,7,4,1,1,7,7,9
"ESS4e04_6",4,"4.6","14.11.2023",12003,"BE",1.0074,0.7986095,0.50377333,0.40231818,5,8,4,7,3,8,5,3,5,7,8,9
"ESS4e04_6",4,"4.6","14.11.2023",12009,"BE",1.0074,0.7777354,0.50377333,0.39180237,6,7,6,5,9,9,5,3,6,7,7,8
"ESS4e04_6",4,"4.6","14.11.2023",12101,"BE",1.0074,0.96096045,0.50377333,0.48410624,5,7,6,6,6,8,8,4,5,7,7,8
"ESS4e04_6",4,"4.6","14.11.2023",12102,"BE",1.0074,0.9902161,0.50377333,0.49884444,5,4,5,4,3,7,6,7,7,6,8,7
"ESS4e04_6",4,"4.6","14.11.2023",12103,"BE",1.0074,1.1313298,0.50377333,0.5699338,0,0,0,0,88,6,3,3,5,7,6,5
"ESS4e04_6",4,"4.6","14.11.2023",12104,"BE",1.0074,1.1612698,0.50377333,0.5850167,5,5,5,88,5,6,6,6,7,8,8,9
"ESS4e04_6",4,"4.6","14.11.2023",12105,"BE",1.0074,0.9606094,0.50377333,0.4839294,6,6,6,7,6,10,6,5,5,8,7,10
"ESS4e04_6",4,"4.6","14.11.2023",12106,"BE",1.0074,1.1970611,0.50377333,0.60304743,4,6,4,5,3,7,7,4,8,7,8,7
"ESS4e04_6",4,"4.6","14.11.2023",12107,"BE",1.0074,1.1966237,0.50377333,0.6028271,5,88,5,5,88,8,88,88,88,7,8,8
"ESS4e04_6",4,"4.6","14.11.2023",12109,"BE",1.0074,1.1309165,0.50377333,0.5697256,88,88,88,88,6,9,88,88,88,9,9,8
"ESS4e04_6",4,"4.6","14.11.2023",12201,"BE",1.0074,0.8232233,0.50377333,0.41471794,4,3,4,4,3,8,2,6,5,6,7,8
"ESS4e04_6",4,"4.6","14.11.2023",12202,"BE",1.0074,1.1616943,0.50377333,0.5852306,5,3,3,0,5,10,6,3,5,5,4,10
"ESS4e04_6",4,"4.6","14.11.2023",12203,"BE",1.0074,0.96096045,0.50377333,0.48410624,6,8,4,6,7,10,7,6,6,9,8,10
"ESS4e04_6",4,"4.6","14.11.2023",12205,"BE",1.0074,0.8232233,0.50377333,0.41471794,6,7,5,5,7,8,4,5,7,8,9,8
"ESS4e04_6",4,"4.6","14.11.2023",12206,"BE",1.0074,0.9902161,0.50377333,0.49884444,7,7,5,7,7,8,5,4,5,8,8,7
