"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstplt","trstep","trstprt","trstprl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","atchctr","atcherp"
"ESS8e02_3",8,"2.3","23.11.2023",1,"AT",0.61167705,1.1784955,0.3703929,0.43650636,2,9,8,6,0,5,4,4,6,3,5,5,5,7
"ESS8e02_3",8,"2.3","23.11.2023",2,"AT",1.2233541,0.8994715,0.3703929,0.33315787,3,6,4,5,1,5,1,3,3,0,3,5,0,10
"ESS8e02_3",8,"2.3","23.11.2023",4,"AT",0.38905773,0.31575334,0.3703929,0.11695279,3,4,3,3,5,9,6,3,6,8,6,8,8,9
"ESS8e02_3",8,"2.3","23.11.2023",6,"AT",0.642594,0.4724674,0.3703929,0.17499857,1,1,1,1,0,7,5,6,6,7,6,8,6,8
"ESS8e02_3",8,"2.3","23.11.2023",10,"AT",3.4324021,2.2467055,0.3703929,0.83216375,6,9,7,7,5,10,7,5,9,10,10,5,8,8
"ESS8e02_3",8,"2.3","23.11.2023",11,"AT",1.1805793,1.011379,0.3703929,0.3746076,3,2,3,4,5,7,3,5,5,4,5,9,9,9
"ESS8e02_3",8,"2.3","23.11.2023",12,"AT",1.2734222,1.8380297,0.3703929,0.68079317,2,88,2,5,4,5,5,6,7,4,9,7,4,1
"ESS8e02_3",8,"2.3","23.11.2023",13,"AT",2.1640499,1.2028018,0.3703929,0.44550925,5,4,3,6,5,9,6,5,8,7,8,9,8,5
"ESS8e02_3",8,"2.3","23.11.2023",14,"AT",0.4131185,0.32083097,0.3703929,0.11883351,9,8,8,10,5,10,10,10,10,9,10,9,8,9
"ESS8e02_3",8,"2.3","23.11.2023",15,"AT",1.7849587,0.99757445,0.3703929,0.36949447,4,1,4,7,5,7,5,3,7,8,8,8,8,4
"ESS8e02_3",8,"2.3","23.11.2023",16,"AT",0.41295302,0.5500596,0.3703929,0.20373817,3,3,3,6,5,8,0,4,5,10,10,8,10,9
"ESS8e02_3",8,"2.3","23.11.2023",17,"AT",1.0553485,0.6911919,0.3703929,0.25601256,0,0,0,0,8,7,5,0,3,4,5,7,8,5
"ESS8e02_3",8,"2.3","23.11.2023",18,"AT",0.4739466,0.41117626,0.3703929,0.15229677,6,5,6,2,8,6,6,2,8,5,7,5,4,5
"ESS8e02_3",8,"2.3","23.11.2023",19,"AT",0.8666936,0.6730806,0.3703929,0.24930428,5,7,5,6,5,8,5,4,5,6,7,8,6,5
