"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstprl","trstplt","trstprt","trstep","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","atchctr","atcherp","prob","stratum","psu"
"ESS9e03_2",9,"3.2","23.11.2023",27,"AT",0.5811743,0.21811137,0.30209145,0.06588958,5,5,5,5,9,8,8,8,8,6,4,7,10,6,0.0011755485,59,1688
"ESS9e03_2",9,"3.2","23.11.2023",137,"AT",1.0627724,0.41347328,0.30209145,0.12490674,7,3,4,5,5,8,8,7,8,7,8,8,9,6,0.00064284564,79,88
"ESS9e03_2",9,"3.2","23.11.2023",194,"AT",1.3765086,2.2702928,0.30209145,0.685836,6,5,5,5,5,9,5,6,6,9,9,9,10,5,0.0004963272,11,938
"ESS9e03_2",9,"3.2","23.11.2023",208,"AT",0.9933993,0.38648343,0.30209145,0.11675334,0,3,3,0,88,8,6,8,6,7,8,8,10,3,0.0006877382,74,1998
"ESS9e03_2",9,"3.2","23.11.2023",220,"AT",0.37735337,1.0321022,0.30209145,0.31178924,7,7,7,5,5,8,7,7,7,7,10,8,10,5,0.0018105009,99,601
"ESS9e03_2",9,"3.2","23.11.2023",254,"AT",1.4793528,0.57554466,0.30209145,0.17386712,6,5,5,4,3,9,9,6,7,6,7,9,8,7,0.00046182267,77,68
"ESS9e03_2",9,"3.2","23.11.2023",290,"AT",0.9917577,0.72060436,0.30209145,0.21768841,0,0,0,3,3,10,1,3,3,9,1,8,5,5,0.00068887655,36,1139
"ESS9e03_2",9,"3.2","23.11.2023",301,"AT",0.30985904,0.13011284,0.30209145,0.039305978,5,3,3,1,7,6,7,7,3,5,5,5,10,1,0.0022048692,69,1914
"ESS9e03_2",9,"3.2","23.11.2023",305,"AT",1.2303838,1.7707597,0.30209145,0.53493136,1,1,1,1,4,10,8,5,4,8,8,10,8,6,0.0005552728,9,885
"ESS9e03_2",9,"3.2","23.11.2023",400,"AT",0.4588362,0.74281406,0.30209145,0.22439778,3,4,4,4,5,9,7,7,7,8,9,9,8,5,0.0014889815,11,918
"ESS9e03_2",9,"3.2","23.11.2023",413,"AT",0.4261578,0.15993461,0.30209145,0.048314877,6,10,10,10,2,10,10,10,10,9,10,10,10,10,0.0016031588,82,182
"ESS9e03_2",9,"3.2","23.11.2023",438,"AT",0.9917577,0.77776074,0.30209145,0.23495486,7,5,5,9,3,8,5,2,7,4,6,8,5,7,0.00068887655,36,1135
"ESS9e03_2",9,"3.2","23.11.2023",459,"AT",1.1061352,0.80371034,0.30209145,0.24279402,6,3,0,0,5,10,6,8,3,5,8,10,10,4,0.0006176448,1,2
"ESS9e03_2",9,"3.2","23.11.2023",472,"AT",0.8202559,0.9830472,0.30209145,0.29697016,4,1,4,6,5,10,9,8,7,10,9,9,10,3,0.0008329092,9,881
"ESS9e03_2",9,"3.2","23.11.2023",586,"AT",0.47176006,0.34277758,0.30209145,0.10355017,9,8,8,9,4,9,9,8,9,9,9,8,9,6,0.001448191,42,1255
"ESS9e03_2",9,"3.2","23.11.2023",592,"AT",0.5730639,1.0202683,0.30209145,0.30821434,3,3,2,7,1,6,7,2,3,6,8,5,7,9,0.0011921858,105,754
"ESS9e03_2",9,"3.2","23.11.2023",614,"AT",0.9295771,0.36165342,0.30209145,0.10925241,7,6,8,4,6,9,9,9,9,7,9,9,10,6,0.0007349564,69,1906
"ESS9e03_2",9,"3.2","23.11.2023",651,"AT",1.31288,0.5512915,0.30209145,0.16654046,3,3,3,2,5,9,5,8,8,7,8,10,10,8,0.0005203816,80,111
"ESS9e03_2",9,"3.2","23.11.2023",687,"AT",0.30985904,0.11628836,0.30209145,0.03512972,3,4,4,6,3,10,6,7,10,10,3,10,10,6,0.0022048692,69,1910
"ESS9e03_2",9,"3.2","23.11.2023",703,"AT",0.5521099,1.3890675,0.30209145,0.41962543,7,1,1,7,7,7,7,2,6,9,9,6,10,7,0.0012374324,20,113
"ESS9e03_2",9,"3.2","23.11.2023",722,"AT",0.5521099,0.4011593,0.30209145,0.12118679,8,8,8,7,5,10,8,8,10,8,10,10,10,10,0.0012374324,20,113
"ESS9e03_2",9,"3.2","23.11.2023",815,"AT",0.6061253,0.5144068,0.30209145,0.15539789,7,4,4,3,6,7,6,7,8,5,8,9,10,7,0.0011271575,64,1453
"ESS9e03_2",9,"3.2","23.11.2023",890,"AT",0.46808594,0.2732045,0.30209145,0.08253275,8,6,3,77,3,3,88,8,7,9,9,4,7,7,0.001459558,30,1986
"ESS9e03_2",9,"3.2","23.11.2023",912,"AT",1.1529205,0.90898925,0.30209145,0.27459788,5,5,5,88,5,8,88,88,7,7,8,9,8,5,0.0005925809,45,1295
"ESS9e03_2",9,"3.2","23.11.2023",915,"AT",0.9176724,1.3691212,0.30209145,0.41359982,5,5,5,5,3,7,8,6,3,5,8,8,10,6,0.00074449077,11,923
"ESS9e03_2",9,"3.2","23.11.2023",919,"AT",1.0791376,1.92127,0.30209145,0.5803992,8,6,6,6,3,8,10,10,10,5,9,8,9,8,0.0006330969,19,1111
"ESS9e03_2",9,"3.2","23.11.2023",932,"AT",0.54769045,0.5830091,0.30209145,0.17612207,4,3,2,2,3,6,5,5,6,5,4,6,6,6,0.0012474174,21,335
"ESS9e03_2",9,"3.2","23.11.2023",950,"AT",0.8539414,0.6204679,0.30209145,0.18743804,5,5,5,5,5,7,7,4,6,8,9,7,10,6,0.00080005336,27,1331
"ESS9e03_2",9,"3.2","23.11.2023",976,"AT",0.5506459,1.3853848,0.30209145,0.4185129,7,1,2,0,5,3,3,2,5,5,6,4,5,5,0.0012407223,43,1231
"ESS9e03_2",9,"3.2","23.11.2023",1005,"AT",1.8469421,3.999696,0.30209145,1.208274,5,3,4,2,7,9,8,6,7,5,4,8,8,7,0.000369908,1,1897
"ESS9e03_2",9,"3.2","23.11.2023",1037,"AT",1.1061352,0.77529037,0.30209145,0.2342086,1,0,0,0,9,10,8,8,9,9,8,10,8,8,0.0006176448,1,2
"ESS9e03_2",9,"3.2","23.11.2023",1046,"AT",0.9276699,0.3609114,0.30209145,0.10902825,8,7,7,7,8,9,9,9,8,9,9,9,7,7,0.0007364674,63,1790
"ESS9e03_2",9,"3.2","23.11.2023",1049,"AT",1.0360992,0.8168847,0.30209145,0.24677388,88,0,0,88,5,10,10,9,9,10,10,9,8,8,0.000659395,28,1742
"ESS9e03_2",9,"3.2","23.11.2023",1093,"AT",1.5439435,2.2220318,0.30209145,0.67125684,6,6,5,4,7,9,8,8,8,5,8,8,8,4,0.00044250235,14,997
"ESS9e03_2",9,"3.2","23.11.2023",1171,"AT",0.47826752,0.34111285,0.30209145,0.103047274,4,4,4,2,5,8,6,6,5,9,8,7,7,6,0.0014284864,91,463
"ESS9e03_2",9,"3.2","23.11.2023",1196,"AT",1.2068704,0.87690395,0.30209145,0.26490518,6,5,4,5,5,8,6,7,8,7,7,8,8,6,0.00056609116,31,480
"ESS9e03_2",9,"3.2","23.11.2023",1254,"AT",0.9176724,1.0997975,0.30209145,0.33223942,3,4,4,4,4,9,5,4,4,5,7,9,9,7,0.00074449077,11,927
"ESS9e03_2",9,"3.2","23.11.2023",1290,"AT",0.59357375,0.24924754,0.30209145,0.07529555,4,5,5,3,5,6,6,7,7,7,6,6,6,5,0.001150992,89,351
"ESS9e03_2",9,"3.2","23.11.2023",1309,"AT",1.1167736,0.4191188,0.30209145,0.1266122,1,1,1,0,2,9,7,7,5,2,5,10,10,4,0.0006117611,55,1562
"ESS9e03_2",9,"3.2","23.11.2023",1338,"AT",0.8216318,1.2258335,0.30209145,0.37031382,7,7,7,1,9,8,8,8,9,1,7,8,9,1,0.0008315144,18,1042
"ESS9e03_2",9,"3.2","23.11.2023",1373,"AT",0.8761643,0.36791003,0.30209145,0.11114247,5,5,5,5,5,9,9,7,8,6,7,4,9,9,0.0007797609,65,1791
"ESS9e03_2",9,"3.2","23.11.2023",1381,"AT",0.510506,0.7347167,0.30209145,0.22195163,8,7,7,0,8,10,6,8,8,8,7,9,10,5,0.0013382775,4,809
