"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","trstprl","trstplt","trstprt","trstep","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","atchctr","atcherp","prob","stratum","psu"
"ESS10SCe03_1",10,"3.1","02.11.2023",10009,"AT",0.74853796,3.3016517,0.3817861,1.2605247,2,0,0,0,5,7,7,0,2,0,10,8,10,5,0.00091380405,24,1477
"ESS10SCe03_1",10,"3.1","02.11.2023",10034,"AT",0.999471,0.9176571,0.3817861,0.35034874,9,5,3,7,5,3,5,6,7,6,8,8,8,10,0.000684379,105,1831
"ESS10SCe03_1",10,"3.1","02.11.2023",10048,"AT",1.5111212,0.6638178,0.3817861,0.25343645,8,7,8,7,2,8,8,6,7,7,8,8,8,7,0.0004526553,97,1503
"ESS10SCe03_1",10,"3.1","02.11.2023",10058,"AT",2.9794238,2.977892,0.3817861,1.1369178,6,5,5,7,2,9,7,5,6,7,8,9,5,7,0.0002295803,34,697
"ESS10SCe03_1",10,"3.1","02.11.2023",10066,"AT",0.7572235,1.569681,0.3817861,0.59928244,9,7,5,10,2,9,5,0,6,2,6,8,5,10,0.0009033224,7,378
"ESS10SCe03_1",10,"3.1","02.11.2023",10091,"AT",1.055126,2.5397816,0.3817861,0.96965337,7,1,1,4,5,10,10,2,5,7,8,8,10,10,0.00064827997,61,1450
"ESS10SCe03_1",10,"3.1","02.11.2023",10166,"AT",0.38084924,0.7934452,0.3817861,0.30292636,8,4,3,7,3,8,7,5,7,4,7,8,7,7,0.0017960308,8,284
"ESS10SCe03_1",10,"3.1","02.11.2023",10167,"AT",0.84995234,1.8911952,0.3817861,0.72203207,8,5,6,8,6,10,10,8,7,8,9,10,10,10,0.000804771,3,1658
"ESS10SCe03_1",10,"3.1","02.11.2023",10171,"AT",0.72670966,0.60442007,0.3817861,0.23075919,4,4,5,4,5,5,3,5,7,4,6,6,9,5,0.00094125204,39,1111
"ESS10SCe03_1",10,"3.1","02.11.2023",10190,"AT",1.9978616,0.8176366,0.3817861,0.3121623,5,3,3,7,5,4,4,3,5,0,0,5,8,8,0.00034237455,82,1861
